Name,Genre,Rating,Director,Actor,Year,Hero_Rating,movie_rating,content_rating
Mouna Guru,Action,7.7,Santha Kumar,Arulnithi,2011,8,8,7.9
7 Aum Arivu,Action,6.2,A.R. Murugadoss,Suriya,2011,9,9,8.066666667
Vaagai Sooda Vaa,Comedy,8,A. Sarkunam,Vimal,2011,8,7,7.666666667
Mankatha,Action,7.6,Venkat Prabhu,Ajith Kumar,2011,6,8,7.2
Kanchana: Muni 2,Comedy,6.5,Lawrence Raghavendra,Lawrence Raghavendra,2011,8,9,7.833333333
Deiva Thirumagal,Drama,8.1,A.L. Vijay,Vikram,2011,9,9,8.7
Vaanam,Action,7.2,Radha Krishna Jagarlamudi,T.R. Silambarasan,2011,7,8,7.4
Ko,Action,7.8,K.V. Anand,Jiiva,2011,9,7,7.933333333
Payanam,Action,7.3,Radha Mohan,Nagarjuna Akkineni,2011,6,8,7.1
Yutham Sei,Crime,8,Myshkin,Cheran,2011,4,9,7
Aadukalam,Action,8.1,Vetrimaaran,Dhanush,2011,8,9,8.366666667
Naduvula Konjam Pakkatha Kaanom,Comedy,8.2,Balaji Tharaneetharan,Vijay Sethupathi,2012,7,8,7.733333333
Thuppakki,Action,7.9,A.R. Murugadoss,Joseph Vijay,2012,9,9,8.633333333
Pizza,Horror,8,Karthik Subbaraj,Vijay Sethupathi,2012,2,8,6
Naan,Crime,7.5,Jeeva Shankar,Vijay Antony,2012,3,7,5.833333333
The Fly,Action,7.7,S.S. Rajamouli,J.V.V. Sathyanarayana,2012,5,7,6.566666667
Kalakalappu,Comedy,6.9,Sundar C.,Vimal,2012,7,8,7.3
Vazhakku Enn 18/9,Crime,8.3,Balaji Sakthivel,Sri,2012,5,9,7.433333333
Kumki,Drama,7,Prabu Solomon,Vikram Prabhu,2012,8,9,8
Neethaane En Ponvasantham,Romance,6.5,Gautham Vasudev Menon,Jiiva,2012,9,8,7.833333333
Thalaimuraigal,Drama,7.6,Balu Mahendra,Karthick,2013,8,7,7.533333333
Biriyani,Action,5.7,Venkat Prabhu,Karthi,2013,7,8,6.9
Ivan Veramaathiri,Action,6,M. Saravanan,Vikram Prabhu,2013,4,9,6.333333333
Kalyana Samayal Saadham,Comedy,7.1,R.S. Prasanna,Prasanna,2013,5,8,6.7
Irandam Ulagam,Action,5.7,K. Selvaraghavan,Arya,2013,8,8,7.233333333
Pandiya Naadu,Action,7.2,Suseenthiran,Vishal,2013,9,8,8.066666667
Arrambam,Action,7,Vishnuvardhan,Ajith Kumar,2013,6,9,7.333333333
Onaayum Aattukkuttiyum,Action,8.2,Myshkin,Myshkin,2013,8,8,8.066666667
Raja Rani,Comedy,7.6,Atlee Kumar,Arya,2013,9,9,8.533333333
6 Candles,Thriller,7,V.Z. Dhorai,Sandra Amy,2013,4,9,6.666666667
Moodar Koodam,Comedy,7.7,Naveen,Naveen,2013,5,8,6.9
